"ID","Fold.change","Regulatory.status.x","p.value.adj.x","FPKM.WT.x","FPKM.SarA.x","foldChange_SarA.WT","Regulatory.status.y","p.value.adj.y","FPKM.WT.y","FPKM.SarA.y"
"srn_0275",0.56356,"+",0.00771,19.35,11.19,0.7624,"+",0.389,33.83,29.68
"srn_0380",0.41266,"+",1.61e-05,17.89,7.57,0.54637,"+",0.0156,108.55,68.25
"srn_1510",0.55261,"+",6e-09,235.59,133.58,0.3609,"+",1.22e-05,1430.91,594.28
"srn_1910",0.54491,"+",0.00148,77.6,43.39,0.85834,"+",0.747,41.45,40.95
"srn_2200",0.68414,"+",0.000149,815.39,572.37,1.01615,"-",0.962,1001.47,1171.07
"srn_2230",15.47657,"-",1.16e-143,2590.74,41140.2,8.98636,"-",1.94e-25,4000.89,41373.95
"srn_2460",2.41162,"-",1.57e-13,87.4,216.28,2.52431,"-",1.88e-05,102.26,297.06
"srn_2520",1.31532,"-",0.0241,213.22,287.76,1.33541,"-",0.266,206.06,316.67
"srn_2620",1.30929,"-",0.0113,11356.89,15256.78,1.18047,"-",0.457,425.92,578.58
"srn_4205",6.69057,"-",0.00123,0.62,4.29,32.79748,"-",0.000513,0.08,3.05
"srn_4540",2.90054,"-",0.0184,5.1,15.17,1.98166,"-",0.205,6.44,14.68
"srn_4680",1.79285,"-",0.0203,28.79,52.96,4.57573,"-",3.85e-05,6.13,32.29
"srn_4705",2.5383,"-",4.96e-14,35.86,93.39,1.81945,"-",0.0093,50.24,105.2
"srn_4830",0.57369,"+",8.06e-08,52823.74,31093.69,0.96163,"+",0.928,2174.28,2406.09
"srn_0440",1.33943,"-",0.00884,1417.86,1948.59,1.89445,"-",0.00495,99.88,217.75
"srn_0455",2.60383,"-",1.61e-05,36.66,97.95,3.36531,"-",0.000144,2.35,9.11
"srn_0860",1.4047,"-",0.00211,1060.22,1528.08,10.50866,"-",7.34e-29,190.78,2307.16
"srn_1090",1.49941,"-",0.0118,60.07,92.41,1.83548,"-",0.0107,2.73,5.77
"srn_1930",0.48285,"+",0.00131,32.78,16.24,1.63871,"-",0.23,2.57,4.85
"srn_1960",0.57794,"+",0.00419,31.98,18.97,0.36722,"+",1.8e-05,184.34,77.9
"srn_1980",0.57927,"+",0.0256,79.72,47.38,1.33454,"-",0.337,37.19,57.11
"srn_2480",4.4948,"-",3.33e-06,1.22,5.61,1.45916,"-",0.132,60.05,100.84
"srn_3080",0.70201,"+",0.00102,785.69,565.93,1.0047,"-",0.967,709.45,820.25
"srn_3500",1.72251,"-",1.31e-06,133.7,236.29,3.21929,"-",1.3e-08,77.86,288.43
"srn_3550",0.64833,"+",3.09e-05,419.51,279.06,1.00144,"-",0.957,504.47,581.37
"srn_3610",7.09485,"-",4.72e-64,62.65,456.07,8.90355,"-",6.84e-28,134.6,1379.09
"srn_9340",13.90664,"-",1.2e-50,3.22,45.97,24.83422,"-",1.66e-52,6.42,183.5
"srn_3910",2.3299,"-",5.23e-18,2020.33,4829.78,0.52375,"+",0.00754,92046.43,55477.51
"srn_4460",0.72012,"+",0.028,87.4,64.58,0.54327,"+",0.00422,449.78,281.2
"srn_4470",0.33153,"+",7.62e-28,25959.98,8830.65,0.16074,"+",1.97e-13,22796.86,4216.75
"srn_5010",0.7078,"+",0.000505,1247.39,905.91,0.92413,"+",0.668,922.46,981
