"ID","Fold.change","Regulatory.status.x","p.value.adj.x","FPKM.WT.x","FPKM.SarA.x","foldChange_SarA.WT","Regulatory.status.y","p.value.adj.y","FPKM.WT.y","FPKM.SarA.y"
"srn_0380",0.41266,"+",1.61e-05,17.89,7.57,0.54637,"+",0.0156,108.55,68.25
"srn_0510",0.77782,"+",0.259,37.11,29.61,0.11306,"+",4.06e-19,914.25,118.95
"srn_1270",1.15299,"-",0.317,3154.48,3731.82,1.81599,"-",0.00764,106.41,222.37
"srn_1410",0.9131,"+",0.504,513.54,481.13,2.57056,"-",2.78e-05,51.77,153.16
"srn_1510",0.55261,"+",6e-09,235.59,133.58,0.3609,"+",1.22e-05,1430.91,594.28
"srn_1670",1.08707,"-",0.554,969.41,1081.27,2.51744,"-",2.87e-05,100.85,292.15
"srn_1680",1.27089,"-",0.175,276.36,360.37,2.71588,"-",5.58e-05,34.99,109.37
"srn_2230",15.47657,"-",1.16e-143,2590.74,41140.2,8.98636,"-",1.94e-25,4000.89,41373.95
"srn_2460",2.41162,"-",1.57e-13,87.4,216.28,2.52431,"-",1.88e-05,102.26,297.06
"srn_2850",0.96461,"+",0.9,60.55,59.93,1.79693,"-",0.0235,21.34,44.14
"srn_9349",0.99376,"+",1,171.82,175.2,2.3643,"-",6.1e-05,49.07,133.51
"srn_4205",6.69057,"-",0.00123,0.62,4.29,32.79748,"-",0.000513,0.08,3.05
"srn_4680",1.79285,"-",0.0203,28.79,52.96,4.57573,"-",3.85e-05,6.13,32.29
"srn_4705",2.5383,"-",4.96e-14,35.86,93.39,1.81945,"-",0.0093,50.24,105.2
"srn_0440",1.33943,"-",0.00884,1417.86,1948.59,1.89445,"-",0.00495,99.88,217.75
"srn_0455",2.60383,"-",1.61e-05,36.66,97.95,3.36531,"-",0.000144,2.35,9.11
"srn_0860",1.4047,"-",0.00211,1060.22,1528.08,10.50866,"-",7.34e-29,190.78,2307.16
"srn_1090",1.49941,"-",0.0118,60.07,92.41,1.83548,"-",0.0107,2.73,5.77
"srn_1370",0.70198,"+",0.821,0.81,0.58,0.34562,"+",0.0433,29.62,11.78
"srn_1640",1.02201,"-",0.985,77.16,80.92,10.42897,"-",3.05e-27,1713.59,20565.32
"srn_1930",0.63891,"+",0.158,6.61,4.33,1.88594,"-",0.0312,27.83,60.4
"srn_1930",0.96918,"+",0.944,150.85,150.01,2.36726,"-",2.23e-05,47.2,128.58
"srn_1960",0.57794,"+",0.00419,31.98,18.97,0.36722,"+",1.8e-05,184.34,77.9
"srn_3130",0.78849,"+",0.891,3.73,3.02,3.23057,"-",0.00839,6.24,23.19
"srn_9320",1.22068,"-",0.34,147.31,184.5,3.53243,"-",4.58e-05,26.23,106.64
"srn_3500",1.72251,"-",1.31e-06,133.7,236.29,3.21929,"-",1.3e-08,77.86,288.43
"srn_3510",1.14933,"-",0.369,168.47,198.67,0.58387,"+",0.0285,416.97,280.16
"srn_3600",0.98303,"+",1,40.26,40.6,0.34417,"+",1.03e-05,177.83,70.43
"srn_3610",7.09485,"-",4.72e-64,62.65,456.07,8.90355,"-",6.84e-28,134.6,1379.09
"srn_9340",13.90664,"-",1.2e-50,3.22,45.97,24.83422,"-",1.66e-52,6.42,183.5
"srn_3910",2.3299,"-",5.23e-18,2020.33,4829.78,0.52375,"+",0.00754,92046.43,55477.51
"srn_4460",0.72012,"+",0.028,87.4,64.58,0.54327,"+",0.00422,449.78,281.2
"srn_4470",0.33153,"+",7.62e-28,25959.98,8830.65,0.16074,"+",1.97e-13,22796.86,4216.75
