"ID","Fold.change","Regulatory.status.x","p.value.adj.x","FPKM.WT.x","FPKM.SarA.x","foldChange_SarA.WT","Regulatory.status.y","p.value.adj.y","FPKM.WT.y","FPKM.SarA.y"
"srn_0010",0.75433,"+",0.0566,187.78,145.33,1.00154,"-",1,47.65,54.92
"srn_0275",0.56356,"+",0.00771,19.35,11.19,0.7624,"+",0.389,33.83,29.68
"srn_0380",0.41266,"+",1.61e-05,17.89,7.57,0.54637,"+",0.0156,108.55,68.25
"srn_0510",0.77782,"+",0.259,37.11,29.61,0.11306,"+",4.06e-19,914.25,118.95
"srn_0800",1.78551,"-",0.873,0.57,1.05,3.57043,"-",0.301,0.25,1.03
"srn_1270",1.15299,"-",0.317,3154.48,3731.82,1.81599,"-",0.00764,106.41,222.37
"srn_9210",0.62271,"+",0.292,23.32,14.9,0.79043,"+",0.991,4.79,4.36
"srn_1410",0.9131,"+",0.504,513.54,481.13,2.57056,"-",2.78e-05,51.77,153.16
"srn_1510",0.55261,"+",6e-09,235.59,133.58,0.3609,"+",1.22e-05,1430.91,594.28
"srn_1580",1.12595,"-",0.65,84.77,97.93,0.9026,"+",0.736,5.35,5.55
"srn_1630",0.73652,"+",0.0599,37.45,28.3,0.7796,"+",0.388,55.53,49.82
"srn_1670",1.08707,"-",0.554,969.41,1081.27,2.51744,"-",2.87e-05,100.85,292.15
"srn_1680",1.27089,"-",0.175,276.36,360.37,2.71588,"-",5.58e-05,34.99,109.37
"srn_1800",0.8443,"+",0.897,0.59,0.51,1.13454,"-",0.895,5.05,6.59
"srn_1910",0.54491,"+",0.00148,77.6,43.39,0.85834,"+",0.747,41.45,40.95
"srn_2030",0.85739,"+",0.258,184.66,162.45,1.53475,"-",0.0959,324.01,572.25
"srn_2035",1.01363,"-",0.959,675.79,702.84,1.23807,"-",0.502,502.4,715.79
"srn_2200",0.68414,"+",0.000149,815.39,572.37,1.01615,"-",0.962,1001.47,1171.07
"srn_2230",15.47657,"-",1.16e-143,2590.74,41140.2,8.98636,"-",1.94e-25,4000.89,41373.95
"srn_2460",2.41162,"-",1.57e-13,87.4,216.28,2.52431,"-",1.88e-05,102.26,297.06
"srn_2520",1.31532,"-",0.0241,213.22,287.76,1.33541,"-",0.266,206.06,316.67
"srn_2620",1.30929,"-",0.0113,11356.89,15256.78,1.18047,"-",0.457,425.92,578.58
"srn_2790",1.00531,"-",1,33.04,34.08,0.69394,"+",0.256,26.56,21.21
"srn_2850",0.96461,"+",0.9,60.55,59.93,1.79693,"-",0.0235,21.34,44.14
"srn_2910",1.1573,"-",0.763,13.91,16.51,0.66425,"+",0.219,19.31,14.76
"srn_2975",1.11334,"-",0.887,10.16,11.6,0.73152,"+",0.368,12.86,10.82
"srn_3100",0.87966,"+",1,3.54,3.2,0.64915,"+",0.707,1.55,1.16
"srn_3460",0.93653,"+",0.965,7.07,6.8,3.08832,"-",0.0753,1.8,6.39
"srn_9349",0.99376,"+",1,171.82,175.2,2.3643,"-",6.1e-05,49.07,133.51
"srn_9480",0.83462,"+",0.641,16.72,14.32,1.64553,"-",0.189,9.42,17.85
"srn_4205",6.69057,"-",0.00123,0.62,4.29,32.79748,"-",0.000513,0.08,3.05
"srn_4300",1.67292,"-",0.584,0.87,1.49,0.96618,"+",1,0.77,0.85
"srn_4540",2.90054,"-",0.0184,5.1,15.17,1.98166,"-",0.205,6.44,14.68
"srn_4680",1.79285,"-",0.0203,28.79,52.96,4.57573,"-",3.85e-05,6.13,32.29
"srn_4705",2.5383,"-",4.96e-14,35.86,93.39,1.81945,"-",0.0093,50.24,105.2
