ID,Fold-change,Regulatory status,p-value adj,FPKM WT,FPKM SarA
4.5S_4.5S,0.98497,+,9.00E-01,351881.31,355622.39
6S,0.79418,+,3.13E-02,52221.07,42553.14
RNAseP_RNAseP,0.83405,+,1.42E-01,20295.43,17368.28
SAOUHSC_00001,0.86344,+,2.77E-01,371.40,329.03
SAOUHSC_00002,0.88768,+,3.88E-01,520.69,474.24
SAOUHSC_00003,0.80433,+,5.16E-02,426.55,352.02
SAOUHSC_00004,0.7533,+,1.31E-02,429.23,331.76
SAOUHSC_00005,0.76629,+,2.16E-02,471.14,370.43
SAOUHSC_00006,0.82641,+,1.29E-01,649.47,550.70
SAOUHSC_00007,1.55363,-,5.34E-05,54.55,86.95
SAOUHSC_00008,0.7868,+,2.88E-01,4.73,3.82
SAOUHSC_00009,0.81948,+,1.03E-01,1629.19,1369.87
SAOUHSC_00010,1.5251,-,3.06E-03,17.89,28.00
SAOUHSC_00012,1.33394,-,1.34E-01,16.57,22.68
SAOUHSC_00013,1.07135,-,7.60E-01,17.86,19.63
SAOUHSC_00014,1.0647,-,7.36E-01,373.45,407.97
SAOUHSC_00015,1.00638,-,1.00E+00,610.92,630.83
SAOUHSC_00017,0.83687,+,1.29E-01,680.09,583.98
SAOUHSC_00018,0.80839,+,6.73E-02,512.72,425.27
SAOUHSC_00019,1.208,-,9.69E-02,58.68,72.73
SAOUHSC_00020,1.18212,-,1.86E-01,279.48,338.98
SAOUHSC_00021,1.23446,-,7.62E-02,232.34,294.29
SAOUHSC_00022,1.19914,-,1.28E-01,254.29,312.87
SAOUHSC_00023,1.17005,-,2.24E-01,287.87,345.60
SAOUHSC_00024,1.09859,-,5.24E-01,143.91,162.22
SAOUHSC_00025,1.88233,-,2.40E-09,23.59,45.56
SAOUHSC_00026,0.86857,+,9.70E-01,0.63,0.56
SAOUHSC_00027,0.75674,+,3.80E-02,59.73,46.38
SAOUHSC_00028,2.25559,-,3.94E-01,0.72,1.66
SAOUHSC_00029,0.83873,+,3.55E-01,192.37,165.55
SAOUHSC_00030,0.87999,+,3.80E-01,82.69,74.66
SAOUHSC_00031,1.11457,-,7.23E-01,14.58,16.67
SAOUHSC_00032,3.43879,-,1.90E-01,0.68,2.40
SAOUHSC_00033,1.14524,-,4.79E-01,17.12,20.12
SAOUHSC_00034,1.65814,-,4.01E-02,9.84,16.75
SAOUHSC_00035,0.97969,+,9.76E-01,11.10,11.15
SAOUHSC_00036,1.01686,-,1.00E+00,16.97,17.70
SAOUHSC_00037,0.78662,+,5.57E-02,124.39,100.39
SAOUHSC_00038,1.10654,-,6.37E-01,95.42,108.34
SAOUHSC_00039,1.10148,-,4.23E-01,128.22,144.91
SAOUHSC_00040,0.87685,+,6.61E-01,21.71,19.53
SAOUHSC_00041,0.89418,+,5.81E-01,41.99,38.52
SAOUHSC_00042,1.15074,-,5.13E-01,8.26,9.75
SAOUHSC_00043,0.96058,+,1.00E+00,3.46,3.41
SAOUHSC_00044,0.87233,+,4.44E-01,27.18,24.32
SAOUHSC_00045,1.21903,-,2.89E-01,14.64,18.31
SAOUHSC_00046,1.08914,-,6.93E-01,16.41,18.33
SAOUHSC_00047,1.33268,-,5.69E-02,24.24,33.14
SAOUHSC_00049,2.09776,-,7.04E-13,18.36,39.52
SAOUHSC_00050,1.63955,-,1.12E-04,35.25,59.31
SAOUHSC_00051,12.24532,-,2.63E-114,14.46,181.68
SAOUHSC_00052,16.40606,-,3.91E-53,1.31,22.09
SAOUHSC_00053,7.20278,-,1.09E-34,2.96,21.91
SAOUHSC_00054,4.84029,-,4.07E-29,6.07,30.13
SAOUHSC_00055,3.93426,-,5.38E-26,9.48,38.28
SAOUHSC_00056,0.88239,+,3.49E-01,169.36,153.33
SAOUHSC_00057,0.62643,+,7.82E-05,37.38,24.03
SAOUHSC_00058,0.70692,+,2.97E-03,44.68,32.41
SAOUHSC_00060,1.13591,-,2.94E-01,349.36,407.18
SAOUHSC_00061,11.29152,-,1.58E-116,45.89,531.71
SAOUHSC_00062,0.98522,+,1.00E+00,1.26,1.27
SAOUHSC_00064,1.29203,-,1.02E-01,8.97,11.89
SAOUHSC_00065,0.76162,+,2.95E-02,184.99,144.56
SAOUHSC_00067,1.34999,-,5.04E-03,230.07,318.69
SAOUHSC_00069,1.73103,-,1.23E-07,4217.28,7490.40
SAOUHSC_00070,0.96048,+,8.52E-01,650.87,641.44
SAOUHSC_00071,1.04054,-,7.87E-01,278.32,297.15
SAOUHSC_00072,2.21298,-,1.12E-08,7.77,17.65
SAOUHSC_00074,3.23089,-,1.02E-26,19.99,66.26
