ID,foldChange_SarA.WT,Regulatory status,p-value adj,FPKM WT,FPKM SarA
SAOUHSC_00837,0.03046,+,1.44E-05,8.46,0.30
SAOUHSC_00311,0.03062,+,1.43E-38,398.29,14.04
SAOUHSC_00310,0.03254,+,2.83E-34,935.83,35.04
srn_1550_Teg49,0.03284,+,1.26E-33,1005.66,38.00
srn_1070_Sau41,0.03917,+,8.11E-33,40014.84,1803.65
srn_2970_sRNA235,0.04325,+,5.80E-04,2.83,0.14
SAOUHSC_00312,0.04738,+,3.65E-32,308.94,16.85
SAOUHSC_02701,0.05175,+,2.77E-20,76.67,4.57
SAOUHSC_01135,0.05262,+,7.67E-28,21648.49,1311.00
SAOUHSC_01136,0.05513,+,1.50E-26,7971.26,505.72
SAOUHSC_02607,0.05602,+,1.61E-26,373.27,24.06
SAOUHSC_00195,0.05644,+,6.65E-28,222.48,14.45
SAOUHSC_02606,0.07288,+,4.02E-23,420.74,35.29
SAOUHSC_00196,0.0891,+,2.53E-21,184.95,18.96
SAOUHSC_00313,0.09171,+,1.04E-20,469.16,49.51
SAOUHSC_01549,0.10532,+,3.70E-02,1.93,0.23
srn_2590_Sau46,0.10669,+,1.88E-07,40.17,4.93
SAOUHSC_02841,0.10894,+,6.03E-19,54.30,6.81
srn_4060_Sau6723,0.10959,+,1.20E-02,6.79,0.86
srn_0510_rsaG,0.11306,+,4.06E-19,914.25,118.95
srn_4390_rsaOG,0.11402,+,1.58E-19,1303.31,171.01
SAOUHSC_02026,0.11595,+,1.08E-01,1.46,0.19
srn_2540_sRNA210,0.11623,+,1.08E-01,2.32,0.31
SAOUHSC_00193,0.11648,+,9.55E-12,56.19,7.53
SAOUHSC_02154,0.11981,+,3.56E-17,282.80,38.99
SAOUHSC_02155,0.12922,+,3.48E-17,353.31,52.54
SAOUHSC_00160,0.13011,+,2.90E-16,352.64,52.80
SAOUHSC_01166,0.1303,+,1.89E-13,14.41,2.16
SAOUHSC_02153,0.13321,+,1.82E-16,230.15,35.28
SAOUHSC_01165,0.13544,+,6.37E-14,12.13,1.89
SAOUHSC_01818,0.13678,+,1.20E-14,872.53,137.34
SAOUHSC_00197,0.13777,+,3.01E-16,234.24,37.14
SAOUHSC_00838,0.14218,+,9.37E-16,155.82,25.49
SAOUHSC_02840,0.14713,+,4.40E-13,28.24,4.78
SAOUHSC_02016,0.15802,+,2.32E-11,52.89,9.62
srn_4470_RsaX28,0.16074,+,1.97E-13,22796.86,4216.75
SAOUHSC_02152,0.1623,+,3.48E-13,381.36,71.23
srn_2760_Sau85,0.16244,+,1.84E-01,4.04,0.75
SAOUHSC_00158,0.16719,+,5.63E-13,297.93,57.32
SAOUHSC_00839,0.17267,+,7.01E-13,235.17,46.73
srn_4790_sRNA387,0.17608,+,2.72E-13,148.92,30.17
SAOUHSC_02933,0.17738,+,7.60E-13,69.65,14.22
SAOUHSC_02017,0.1854,+,1.52E-06,30.34,6.47
srn_0910_sRNA73,0.19128,+,8.70E-03,4.95,1.09
SAOUHSC_00971,0.19202,+,6.83E-12,88.65,19.59
SAOUHSC_01168,0.19392,+,2.65E-11,20.39,4.55
srn_3760_Sau7009,0.19483,+,1.17E-06,81.70,18.32
SAOUHSC_02905,0.19712,+,1.30E-08,27.95,6.34
SAOUHSC_00157,0.19849,+,1.01E-11,199.39,45.54
srn_5055_tsr39,0.19896,+,3.69E-01,2.79,0.64
SAOUHSC_02151,0.2016,+,8.74E-11,438.05,101.63
SAOUHSC_02869,0.20206,+,4.94E-11,1353.47,314.71
srn_1900_Sau15,0.2057,+,1.78E-07,70.49,16.69
SAOUHSC_00535,0.20696,+,1.59E-10,575.19,136.99
SAOUHSC_01845,0.20717,+,2.21E-10,3248.50,774.46
srn_5100_sRNA410,0.21245,+,4.35E-01,0.89,0.22
SAOUHSC_00816,0.21257,+,1.21E-07,6.92,1.69
srn_9490_sRNA337,0.22231,+,2.04E-01,4.64,1.19
SAOUHSC_02906,0.22261,+,4.46E-07,16.93,4.34
SAOUHSC_01517,0.22378,+,4.99E-03,3.42,0.88
SAOUHSC_00198,0.22753,+,5.16E-10,223.87,58.62
SAOUHSC_00019,0.22837,+,1.98E-09,42.93,11.28
SAOUHSC_00134,0.22919,+,7.60E-10,1291.71,340.69
SAOUHSC_02379,0.2294,+,3.49E-09,748.73,197.65
SAOUHSC_02597,0.22998,+,1.66E-09,245.51,64.98
srn_4430_sRNA360,0.23318,+,7.95E-03,5.45,1.46
SAOUHSC_02907,0.23979,+,1.11E-04,9.86,2.72
SAOUHSC_01012,0.2407,+,4.42E-09,99.54,27.57
SAOUHSC_02377,0.24078,+,1.21E-08,750.70,208.01
SAOUHSC_02036,0.24216,+,1.92E-09,49.88,13.90
SAOUHSC_02976,0.2433,+,6.59E-09,1584.67,443.68
SAOUHSC_01910,0.24529,+,1.08E-08,1333.33,376.36
SAOUHSC_01947,0.24811,+,7.71E-09,377.32,107.73
SAOUHSC_00820,0.25087,+,6.94E-09,1155.90,333.70
SAOUHSC_01009,0.2521,+,1.44E-08,69.27,20.10
SAOUHSC_02043,0.25215,+,1.40E-09,55.32,16.05
SAOUHSC_01008,0.25293,+,2.29E-08,83.98,24.44
SAOUHSC_02042,0.25368,+,1.46E-06,22.98,6.71
SAOUHSC_00294,0.2537,+,1.72E-09,48.64,14.20
SAOUHSC_01011,0.25397,+,1.34E-06,36.30,10.61
SAOUHSC_01200,0.25451,+,2.35E-01,2.52,0.74
SAOUHSC_01948,0.25468,+,1.67E-08,514.96,150.93
SAOUHSC_00413,0.2554,+,2.75E-08,241.64,71.02
SAOUHSC_01007,0.25718,+,5.09E-08,1946.97,576.21
SAOUHSC_00156,0.26026,+,1.09E-08,227.80,68.23
srn_4015_tsr31,0.26029,+,9.29E-04,32.05,9.60
SAOUHSC_00233,0.26169,+,1.75E-08,449.16,135.26
SAOUHSC_02020,0.26521,+,9.80E-06,12.36,3.77
SAOUHSC_02932,0.26791,+,2.71E-08,44.49,13.72
SAOUHSC_00295,0.26831,+,6.79E-09,49.11,15.16
SAOUHSC_02044,0.26913,+,1.24E-08,57.37,17.77
SAOUHSC_01557,0.27132,+,5.17E-01,0.61,0.19
SAOUHSC_01794,0.27282,+,9.36E-08,706.81,221.91
srn_2930_sRNA233,0.27329,+,6.08E-01,1.07,0.34
SAOUHSC_01010,0.27604,+,2.12E-07,42.58,13.53
SAOUHSC_00821,0.27606,+,5.84E-08,957.46,304.17
SAOUHSC_00812,0.27779,+,1.55E-07,3760.08,1202.00
SAOUHSC_01568,0.27839,+,9.10E-02,1.41,0.45
srn_4560_sRNA372,0.27939,+,1.13E-02,6.66,2.14
SAOUHSC_02040,0.27943,+,3.90E-06,25.78,8.29
SAOUHSC_02975,0.28134,+,1.17E-07,1552.91,502.77
SAOUHSC_02041,0.28143,+,1.45E-06,27.65,8.95
srn_4750_sRNA384,0.28205,+,1.87E-01,2.18,0.71
SAOUHSC_01956,0.28213,+,1.61E-06,19.32,6.27
SAOUHSC_01945,0.28258,+,1.62E-07,443.87,144.34
SAOUHSC_02066,0.28387,+,7.27E-04,11.71,3.83
SAOUHSC_00617,0.28679,+,4.73E-07,4068.25,1342.62
SAOUHSC_02879,0.28752,+,2.15E-07,280.41,92.78
SAOUHSC_01919,0.29092,+,4.89E-07,1938.51,648.99
SAOUHSC_02034,0.29377,+,1.28E-05,19.85,6.71
