Chromosome,Region,Name,CenterOfPeak,Length,PeakShapeScore,P-value,5'gene,5'distance,3'gene,3'distance
NCTC8325 Genomic sequence,2490228..2490536,Peak,2490368,309,40.87328113,0,SAOUHSC_02708,69,SAOUHSC_02709,189
NCTC8325 Genomic sequence,1698266..1698553,Peak,1698406,288,46.83947424,0,SAOUHSC_01798,25,SAOUHSC_01799,185
NCTC8325 Genomic sequence,1070710..1071003,Peak,1070864,294,46.07607162,0,SAOUHSC_01110,0,SAOUHSC_01111,179
NCTC8325 Genomic sequence,578890..579306,Peak,579030,417,42.70996951,0,SAOUHSC_00575,0,SAOUHSC_00577,178
NCTC8325 Genomic sequence,2214540..2214945,Peak,2214679,406,47.18822977,0,SAOUHSC_02394,122,SAOUHSC_02396,176
NCTC8325 Genomic sequence,1246427..1246784,Peak,1246567,358,46.30888642,0,SAOUHSC_01290,175,SAOUHSC_01291,167
NCTC8325 Genomic sequence,294744..295039,Peak,294884,296,42.43334057,0,SAOUHSC_00278,160,SAOUHSC_00279,166
NCTC8325 Genomic sequence,1420413..1420727,Peak,1420553,315,40.47874375,0,SAOUHSC_01464,23,recU,150
NCTC8325 Genomic sequence,1896900..1897180,Peak,1897040,281,42.7151781,0,SAOUHSC_01992,63,SAOUHSC_01993,148
NCTC8325 Genomic sequence,584873..585280,Peak,585141,408,37.58650415,0.00E+00,SAOUHSC_00583,0,SAOUHSC_00584,145
NCTC8325 Genomic sequence,1410269..1410582,Peak,1410443,314,52.1469262,0,SAOUHSC_01452,18,SAOUHSC_01454,142
NCTC8325 Genomic sequence,1226356..1226642,Peak,1226496,287,46.53715191,0,SAOUHSC_01271,0,SAOUHSC_01272,134
NCTC8325 Genomic sequence,855136..855443,Peak,855304,308,42.82180627,0,SAOUHSC_00891,7,SAOUHSC_00892,133
NCTC8325 Genomic sequence,2659493..2659799,Peak,2659660,307,39.94035321,0,SAOUHSC_02885,84,SAOUHSC_02886,120
NCTC8325 Genomic sequence,2556128..2556441,Peak,2556303,314,39.90657183,0,SAOUHSC_02781,3,SAOUHSC_02782,117
