"SRD.identifier","Most.commun.name","Start","Strand","Other.names","SRD.s.RNAseq.evidence","Category","CenterOfPeak"
"srn_0010","sRNA412","    314","+","sRNA412","5'UTR","","238"
"srn_0275","tsr6","  66047","+","tsr6","Transcript","","66014"
"srn_0380","Teg140"," 148741","+","Teg140_sRNA23","5'UTR","","148645"
"srn_0510","rsaG"," 201744","+","rsaG_Teg93_sRNA31","Transcript","","201704"
"srn_0800","sRNA55"," 318870","+","sRNA55","CDS","","318820"
"4.5S","4.5S"," 444100","+","ffs_Teg42_IGRLF1_WAN01CBPQ_sRNA98","Transcript","","444038"
"srn_1270","Teg44"," 483226","+","Teg44_sRNA111","5'UTR","","483137"
"srn_9210","sRNA114"," 491906","+","sRNA114","ND","","491857"
"srn_1410","Teg77"," 520096","+","Teg77_sRNA125","5'UTR","","520040"
"srn_1510","rsaA"," 575845","+","rsaA_rsaOJ_Teg88_sau64_IGR1_IGR14_sRNA132","Transcript","","575786"
"srn_1580","sbrC"," 623374","+","sbrC","Transcript","","623286"
"srn_1630","Teg99"," 638179","+","Teg99_sRNA137","5'UTR","","638138"
"srn_1670","Teg20as"," 659279","+","Teg20as_sRNA141","Antisense","","659276"
"srn_1680","sRNA142"," 660570","+","sRNA142","5'UTR","","660473"
"srn_1800","sRNA151"," 722563","+","sRNA151","CDS","","722545"
"srn_1910","rsaH"," 774294","+","rsaH_rsaOK_Teg94_sau6059_IGR7_sRNA162","Transcript","","774269"
"srn_2030","Teg52"," 812906","+","Teg52_rsaOM_Teg52_IGR20_sRNA172","3'UTR","","812830"
"srn_2035","tsr15"," 816426","+","tsr15","Antisense","","816346"
"srn_2200","Sau6053"," 931870","+","sRNA189_Sau6053_Teg78","Transcript","","931812"
"srn_2230","sprG2"," 942176","+","sprG2_Teg19b","Transcript","Predicted_toxin-antoxin_module","942122"
"srn_2460","Teg58","1070943","+","Teg58","Transcript","","1070864"
"srn_2520","Teg60","1085894","+","Teg60_sRNA208_tsr22","Transcript","","1085850"
"srn_2610","Sau24","1161479","+","Sau24_Teg81","Transcript","","1161392"
"srn_2620","Teg61","1180714","+","Teg61_sRNA216","5'UTR","","1180697"
"srn_2790","sRNA224","1260987","+","sRNA224","5'UTR","","1260963"
"srn_2850","Teg112","1296632","+","sRNA227_Teg112","5'UTR","","1296609"
"srn_2910","Teg63","1316912","+","Teg63_sRNA232","5'UTR","","1316858"
"srn_2975","tsr25","1362885","+","tsr25_S596","Transcript","","1362822"
"srn_3100","sRNA246","1516092","+","sRNA246","ND","","1516014"
"srn_3460","Sau5949","1771663","+","Sau5949_Teg120_sRNA272","Transcript","","1771571"
"srn_9349","srn_9349","1923281","+","srn_9349","Transcript","","1923217"
"srn_1930.3","rsaOF","1976777","+","rsaOF_Teg12","3'UTR","","1976711"
"srn_9480","sRNA334","2214716","+","sRNA334","Transcript","","2214679"
"srn_4205","tsr32","2284707","+","tsr32","CDS","","2284612"
"srn_4300","sRNA349","2335517","+","sRNA349","Transcript","","2335434"
"srn_4540","sprAs2","2502532","+","sprAs2_sRNA370","Antisense","","2502475"
"srn_4680","Sau19","2556335","+","Sau19_Teg131_RsaX21_sRNA382","Transcript","","2556303"
"srn_4705","tsr37","2567390","+","tsr37","CDS","","2567307"
"srn_4830","Sau6072","2627375","+","Sau6072_sRNA389","Antisense","","2627341"
"srn_5120","Sau5995","2812927","+","Sau5995","5'UTR","","2812872"
